,Row,Treat,Repeat,Plant,Gap,Leaf#1,Leaf#2,Leaf#3,Leaf#4,Leaf#5,Notes,Y,Severity_Count,Distance,InterrowDistance
15,2,2,4,0,0,0,0,0,0,0,,0,0,0,0
16,2,2,4,1,6,0,0,0,0,0,,6,0,1.8288,0
17,2,2,4,2,4,0,0,0,0,0,,10,0,3.048,0
18,2,2,4,3,4,0,0,0,0,0,,14,0,4.2672,0
19,2,2,4,4,6,0,0,0,,0,,20,0,6.096,0
20,2,2,4,5,6,0,0,0,0,0,,26,0,7.9248,0
21,2,2,4,6,6,1,2,0,1,1,,32,1,9.7536,0
22,2,2,4,7,6,0,0,0,1,0,,38,0.2,11.5824,0
23,2,2,4,8,6,0,0,0,0,1,,44,0.2,13.4112,0
24,2,2,4,9,6,1,0,0,0,0,,50,0.2,15.24,0
25,2,2,4,10,6,0,0,0,0,0,,56,0,17.0688,0
26,2,2,4,11,6,0,0,0,0,0,,62,0,18.8976,0
27,2,2,4,12,6,0,0,0,0,0,,68,0,20.7264,0
28,2,2,4,13,6,0,0,0,0,0,,74,0,22.5552,0
29,2,2,4,14,6,0,0,0,0,0,,80,0,24.384,0
45,4,4,4,0,0,2,5,3,5,5,,0,4,0,0
46,4,4,4,1,4,2,10,2,3,3,,4,4,1.2192,0
47,4,4,4,2,6,2,5,2,10,5,,10,4.8,3.048,0
48,4,4,4,3,6,8,2,5,0,0,,16,3,4.8768,0
49,4,4,4,4,8,5,3,2,3,5,,24,3.6,7.3152,0
50,4,4,4,5,6,5,3,5,3,2,,30,3.6,9.144,0
51,4,4,4,6,6,3,2,5,5,2,,36,3.4,10.9728,0
52,4,4,4,7,6,2,5,3,2,3,,42,3,12.8016,0
53,4,4,4,8,6,2,5,1,2,5,,48,3,14.6304,0
54,4,4,4,9,6,0,2,5,1,0,,54,1.6,16.4592,0
55,4,4,4,10,6,2,5,10,3,3,,60,4.6,18.288,0
56,4,4,4,11,6,5.5,5,3,5,5,,66,4.7,20.1168,0
57,4,4,4,12,6,5,2,3,5,5,,72,4,21.9456,0
58,4,4,4,13,6,3,10,7.5,5,6,,78,6.3,23.7744,0
59,4,4,4,14,6,5,6,5,10,10,,84,7.2,25.6032,0
105,8,3,3,0,0,3,3,4,2,1,,0,2.6,0,0
106,8,3,3,1,4,2,2,5,4,0,,4,2.6,1.2192,0
107,8,3,3,2,6,0,0,5,0,1,,10,1.2,3.048,0
108,8,3,3,3,4,1,3,0,4,,,14,2,4.2672,0
109,8,3,3,4,6,5,4,10,2,2,,20,4.6,6.096,0
110,8,3,3,5,6,3,3,1,5,5,,26,3.4,7.9248,0
111,8,3,3,6,8,10,5,3,5,5,,34,5.6,10.3632,0
112,8,3,3,7,6,2,5,10,5,5,,40,5.4,12.192,0
113,8,3,3,8,6,10,0,10,4,5,,46,5.8,14.0208,0
114,8,3,3,9,6,4,5,5,3,10,,52,5.4,15.8496,0
115,8,3,3,10,6,10,5,5,5,5,,58,6,17.6784,0
116,8,3,3,11,6,5,0,5,5,1,,64,3.2,19.5072,0
117,8,3,3,12,6,3,10,5,10,3,,70,6.2,21.336,0
118,8,3,3,13,6,5,5,5,5,5,,76,5,23.1648,0
119,8,3,3,14,6,10,5,5,10,2,,82,6.4,24.9936,0
147,11,1,2,0,0,1,0,5,2,2,,0,2,0,0
148,11,1,2,1,8,0,0,0,2,2,,8,0.8,2.4384,0
149,11,1,2,2,6,2,0,3,0,0,,14,1,4.2672,0
150,11,1,2,3,6,0,0,1,1,1,,20,0.6,6.096,0
151,11,1,2,4,6,3,3,0,0,0,,26,1.2,7.9248,0
152,11,1,2,5,8,1,0,3,1,1,,34,1.2,10.3632,0
153,11,1,2,6,6,1,0,0,1,0,,40,0.4,12.192,0
154,11,1,2,7,6,0,0,1,0,0,,46,0.2,14.0208,0
155,11,1,2,8,6,2,0,0,0,1,,52,0.6,15.8496,0
156,11,1,2,9,6,0,0,0,0,1,,58,0.2,17.6784,0
157,11,1,2,10,6,0,0,0,0,0,,64,0,19.5072,0
158,11,1,2,11,8,2,3,1,1,3,,72,2,21.9456,0
159,11,1,2,12,6,1,1,1,2,0,,78,1,23.7744,0
160,11,1,2,13,2,0,0,0,0,0,,80,0,24.384,0
264,19,4,1,0,0,0,0,0,0,0,,0,0,0,0
265,19,4,1,1,6,0,0,0,0,1,,6,0.2,1.8288,0
266,19,4,1,2,6,0,0,0,1,0,,12,0.2,3.6576,0
267,19,4,1,3,6,0,0,0,0,0,,18,0,5.4864,0
268,19,4,1,4,6,0,1,0,0,2,,24,0.6,7.3152,0
269,19,4,1,5,6,2,2,0,0,0,,30,0.8,9.144,0
270,19,4,1,6,6,3,3,0,2,,,36,2,10.9728,0
271,19,4,1,7,6,1,1,4,0,0,,42,1.2,12.8016,0
272,19,4,1,8,6,1,1,1,0,0,,48,0.6,14.6304,0
273,19,4,1,9,6,0,0,1,0,0,,54,0.2,16.4592,0
274,19,4,1,10,6,1,0,4,0,0,,60,1,18.288,0
275,19,4,1,11,6,1,0,1,0,0,,66,0.4,20.1168,0
276,19,4,1,12,6,0,0,0,3,1,,72,0.8,21.9456,0
277,19,4,1,13,6,0,1,0,1,0,,78,0.4,23.7744,0
278,19,4,1,14,6,0,0,0,1,1,,84,0.4,25.6032,0
